BANSKOBYSTRICKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
OKRES BANSKÁ BYSTRICA;;;;;;;;;;;;;;;;;;;;;;;;;
Svätý Anton;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;;;;;1;100.0;100.0;0.0;0.0;100.0;3;3.0;
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES BREZNO;;;;;;;;;;;;;;;;;;;;;;;;;
Čierny Balog;obec;;;;;;;;;;;;áno;čiastočne;áno;nie;64;48.4;34.4;6.3;0.0;100.0;525;9.1;10.3
Čierny Balog;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;nie;áno;iná;;;;;17;17.6;23.5;0.0;0.0;100.0;118;6.9;
Čierny Balog;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;čiastočne;áno;nie;áno;asfaltová;;;;;6;100.0;100.0;66.7;0.0;100.0;48;9.7;
Čierny Balog;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;nie;áno;iná;;;;;15;86.7;20.0;0.0;0.0;100.0;208;14.9;
Čierny Balog;obec;intravilán;mimo obce;50;potok;vysporiadané;áno;nie;áno;nie;áno;iná;;;;;26;34.6;34.6;0.0;0.0;100.0;151;5.8;
Heľpa;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;áno;áno;iná;áno;áno;áno;áno;15;100.0;33.3;0.0;6.7;100.0;120;8.0;4.0
Hronec;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;čiastočne;áno;;áno;čiastočne;áno;čiastočne;12;100.0;100.0;0.0;8.3;100.0;98;10.0;8.2
Nemecká;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;24;100.0;58.3;0.0;0.0;100.0;121;4.8;6.7
Pohorelá;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;nie;čiastočne;iná;áno;čiastočne;áno;áno;10;100.0;20.0;0.0;0.0;100.0;129;*;4.8
