BANSKOBYSTRICKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
OKRES BANSKÁ BYSTRICA;;;;;;;;;;;;;;;;;;;;;;;;;
Gregorova Vieska;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;4;100.0;0.0;0.0;0.0;100.0;27;6.8;18.0
Halíč;obec;;;;;;;;;;;;áno;čiastočne;áno;áno;58;98.3;84.5;25.9;51.7;93.1;250;4.3;14.8
Halíč;obec;extravilán;mimo obce;4000;;čiastočne vysporiadané;nie;nie;áno;nie;áno;asfaltová;;;;;5;80.0;80.0;0.0;0.0;80.0;30;5.6;
Halíč;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;;;;;50;100.0;90.0;30.0;60.0;100.0;220;4.4;
Jelšovec;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;čiastočne;áno;;áno;áno;áno;áno;26;100.0;30.8;100.0;30.8;100.0;177;6.8;63.9
Kotmanová;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;áno;6;83.3;0.0;0.0;0.0;100.0;50;8.3;13.5
Lehôtka;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;10;100.0;0.0;0.0;0.0;100.0;55;5.5;17.5
Lentvora;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;čiastočne;nie;áno;;áno;nie;áno;nie;7;100.0;71.4;0.0;0.0;57.1;50;7.1;100.0
Lovinobaňa;obec;;;;;;;;;;;;áno;áno;áno;áno;49;89.8;85.7;85.7;46.9;100.0;264;5.4;12.6
Lovinobaňa;obec;intravilán;na okraji;;;vysporiadané;nie;nie;áno;nie;áno;*;;;;;7;28.6;0.0;0.0;0.0;100.0;37;5.3;
Lovinobaňa;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;čiastočne;áno;*;;;;;42;100.0;100.0;100.0;28.6;100.0;227;5.4;
Ľuboreč;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;19;100.0;0.0;0.0;0.0;84.2;72;3.8;15.4
Mašková;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;5;100.0;80.0;0.0;0.0;100.0;30;6.0;10.1
Mučín;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;čiastočne;áno;;nie;nie;áno;áno;58;100.0;0.0;0.0;13.8;100.0;269;4.6;39.1
Mýtna;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;áno;8;100.0;25.0;0.0;62.5;100.0;57;7.9;4.8
Nitra nad Ipľom;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;čiastočne;áno;;nie;nie;áno;čiastočne;38;97.4;0.0;0.0;78.9;92.1;187;4.9;67.8
Panické Dravce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;čiastočne;15;100.0;100.0;0.0;6.7;100.0;67;4.5;9.1
Podrečany;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;8;100.0;100.0;0.0;37.5;100.0;48;6.0;8.2
Polichno;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;4;100.0;75.0;0.0;0.0;100.0;45;11.3;21.4
Praha;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;nie;áno;;áno;čiastočne;áno;nie;2;100.0;0.0;0.0;0.0;100.0;15;7.5;14.7
Pravica;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;čiastočne;nie;áno;;nie;nie;áno;nie;14;100.0;0.0;0.0;0.0;78.6;79;5.6;68.1
Rádzovce;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;čiastočne;áno;;nie;nie;áno;čiastočne;83;100.0;0.0;0.0;39.8;100.0;320;4.2;20.0
Rapovce;obec;;;;;;;;;;;;áno;nie;áno;áno;119;99.2;*;0.0;*;100.0;460;3.9;49.0
Rapovce;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;nie;čiastočne;asfaltová;;;;;6;100.0;50.0;0.0;0.0;100.0;22;3.7;
Rapovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;;;;;113;99.1;*;0.0;*;100.0;438;3.9;
Ružinná;obec;intravilán;na okraji;;;vysporiadané;áno;čiastočne;áno;čiastočne;áno;asfaltová;áno;čiastočne;áno;čiastočne;32;75.0;50.0;50.0;6.3;100.0;174;7.1;26.3
Stará Halíč;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;áno;10;100.0;100.0;0.0;0.0;100.0;86;8.6;12.4
Šávoľ;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;áno;40;100.0;35.0;0.0;27.5;100.0;169;4.2;30.2
Šíd;obec;;;;;;;;;;;;áno;nie;áno;čiastočne;68;95.6;52.9;0.0;0.0;100.0;478;7.0;41.1
Šíd;obec;*;mimo obce;100;kopec;nevysporiadané;nie;nie;áno;nie;áno;*;;;;;5;100.0;0.0;0.0;0.0;100.0;24;4.8;
Šíd;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;*;;;;;38;92.1;50.0;0.0;0.0;100.0;280;7.4;
Šíd;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;;;;;25;100.0;68.0;0.0;0.0;100.0;174;7.0;
Točnica;obec;;;;;;;;;;;;áno;nie;áno;čiastočne;14;64.3;28.6;0.0;0.0;57.1;65;4.1;20.3
Točnica;obec;intravilán;integrované/koncentrované;;;čiastočne vysporiadané;áno;nie;áno;čiastočne;áno;*;;;;;11;54.5;27.3;0.0;0.0;54.5;45;5.0;
Točnica;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;čiastočne;nie;áno;;;;;;3;100.0;33.3;0.0;0.0;0.0;20;6.7;
Trebeľovce;obec;;;;;;;;;;;;áno;nie;áno;áno;16;100.0;0.0;0.0;31.3;100.0;100;6.3;10.2
Trebeľovce;obec;intravilán;integrované/koncentrované;;;čiastočne vysporiadané;nie;nie;áno;áno;áno;iná;;;;;9;100.0;0.0;0.0;22.2;100.0;73;8.1;
Trebeľovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;áno;áno;;;;;;7;100.0;0.0;0.0;42.9;100.0;27;3.9;
Trenč;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;110;100.0;*;0.0;0.0;100.0;356;3.2;94.9
Veľká nad Ipľom;obec;intravilán;integrované/koncentrované;;;čiastočne vysporiadané;áno;nie;áno;čiastočne;áno;*;áno;nie;áno;áno;45;100.0;22.2;0.0;8.9;100.0;160;5.1;24.7
Veľké Dravce;obec;;;;;;;;;;;;áno;nie;čiastočne;čiastočne;22;100.0;22.7;0.0;27.3;86.4;117;5.3;18.8
Veľké Dravce;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;čiastočne;áno;asfaltová;;;;;6;100.0;33.3;0.0;33.3;100.0;31;5.2;
Veľké Dravce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;čiastočne;čiastočne;áno;;;;;;16;100.0;18.8;0.0;25.0;81.3;86;6.6;
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES POLTÁR;;;;;;;;;;;;;;;;;;;;;;;;;
Breznička;obec;extravilán;mimo obce;20;potok;vysporiadané;nie;nie;áno;nie;áno;asfaltová;áno;nie;áno;áno;1;100.0;0.0;0.0;0.0;100.0;8;8.0;1.1
Cinobaňa;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;čiastočne;áno;áno;áno;;áno;áno;áno;áno;38;100.0;100.0;100.0;52.6;100.0;350;9.2;15.2
Hradište;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;áno;9;100.0;0.0;0.0;22.2;100.0;25;3.3;8.7
Hrnčiarska Ves;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;20;100.0;100.0;0.0;0.0;100.0;193;10.0;20.8
Hrnčiarske Zalužany;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;čiastočne;14;100.0;50.0;0.0;28.6;100.0;73;5.2;8.3
Kokava nad Rimavicou;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;97;100.0;100.0;10.3;40.2;100.0;461;4.8;14.8
Málinec;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;áno;áno;áno;áno;27;100.0;77.8;77.8;96.3;100.0;146;6.1;10.0
Poltár;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;130;100.0;100.0;96.2;60.8;100.0;600;4.6;9.8
Rovňany;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;čiastočne;áno;čiastočne;áno;*;áno;čiastočne;áno;áno;13;100.0;69.2;76.9;30.8;100.0;51;4.0;18.4
Uhorské;obec;;;;;;;;;;;;áno;áno;áno;áno;28;100.0;100.0;100.0;10.7;100.0;135;5.4;23.3
Uhorské;obec;intravilán;integrované/koncentrované;;;nevysporiadané;áno;áno;nie;nie;áno;*;;;;;12;100.0;*;100.0;0.0;100.0;60;5.0;
Uhorské;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;áno;čiastočne;áno;čiastočne;áno;;;;;;16;100.0;*;100.0;18.8;100.0;75;5.6;
Zlatno;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;22;100.0;90.9;90.9;45.5;100.0;146;6.6;27.8
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES REVÚCA;;;;;;;;;;;;;;;;;;;;;;;;;
Držkovce;obec;;;;;;;;;;;;áno;nie;áno;nie;47;100.0;0.0;36.2;0.0;100.0;250;5.3;47.2
Držkovce;obec;intravilán;mimo obce;100;;čiastočne vysporiadané;nie;nie;áno;nie;áno;asfaltová;;;;;30;100.0;0.0;0.0;0.0;100.0;120;4.0;
Držkovce;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;;;;;17;100.0;0.0;100.0;0.0;100.0;130;7.6;
Gemer;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;áno;54;100.0;*;0.0;*;100.0;265;3.1;32.6
Gemerská Ves;obec;;;;;;;;;;;;áno;nie;áno;áno;78;100.0;32.1;0.0;6.4;85.9;431;5.3;46.1
Gemerská Ves;obec;extravilán;mimo obce;800;;nevysporiadané;áno;nie;áno;nie;nie;iná;;;;;11;100.0;72.7;0.0;0.0;100.0;73;7.3;
Gemerská Ves;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;áno;áno;;;;;;67;100.0;25.4;0.0;7.5;83.6;358;5.0;
Gemerské Teplice;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;áno;18;100.0;94.4;0.0;11.1;77.8;127;7.1;33.2
Gemerský Sad;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;12;100.0;83.3;0.0;0.0;100.0;77;6.8;24.1
Hucín;obec;;;;;;;;;;;;áno;nie;áno;áno;79;100.0;87.3;0.0;10.1;100.0;451;5.9;55.4
Hucín;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;asfaltová;;;;;49;79.6;85.7;0.0;8.2;100.0;302;6.3;
Hucín;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;;;;;40;100.0;67.5;0.0;10.0;75.0;149;4.0;
Chvalová;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;7;100.0;0.0;0.0;0.0;100.0;48;6.9;29.6
Chyžné;obec;;;;;;;;;;;;áno;nie;áno;áno;19;73.7;36.8;0.0;21.1;100.0;95;5.3;23.1
Chyžné;obec;extravilán;mimo obce;1000;;nevysporiadané;áno;nie;áno;nie;áno;iná;;;;;10;50.0;0.0;0.0;0.0;100.0;36;3.2;
Chyžné;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;9;100.0;77.8;0.0;44.4;100.0;59;7.7;
Jelšava;mesto;;;;;;;;;;;;áno;čiastočne;áno;čiastočne;395;98.2;*;*;*;*;1502;3.9;45.2
Jelšava;mesto;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;čiastočne;áno;čiastočne;áno;;;;;;267;97.4;*;*;*;*;*;*;
Jelšava;mesto;extravilán;mimo obce;2000;*;vysporiadané;áno;nie;áno;nie;áno;iná;;;;;8;100.0;100.0;0.0;0.0;100.0;*;*;
Jelšava;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;čiastočne;áno;asfaltová;;;;;140;100.0;100.0;100.0;85.7;100.0;540;3.9;
Kameňany;obec;;;;;;;;;;;;nie;nie;áno;áno;54;98.1;0.0;0.0;9.3;87.0;454;8.4;63.1
Kameňany;obec;extravilán;na okraji;20;potok;čiastočne vysporiadané;nie;nie;áno;nie;nie;iná;;;;;3;66.7;0.0;0.0;0.0;100.0;35;11.7;
Kameňany;obec;extravilán;mimo obce;500;;nevysporiadané;nie;nie;nie;nie;nie;iná;;;;;2;100.0;0.0;0.0;0.0;0.0;20;10.0;
Kameňany;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;čiastočne;čiastočne;áno;;;;;;49;100.0;0.0;0.0;10.2;93.9;399;8.1;
Leváre;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;4;100.0;50.0;0.0;0.0;100.0;14;3.8;13.5
Levkuška;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;čiastočne;áno;;nie;nie;áno;áno;13;100.0;0.0;0.0;15.4;100.0;62;5.2;26.4
Licince;obec;;;;;;;;;;;;nie;nie;áno;áno;51;100.0;0.0;0.0;0.0;80.4;336;5.0;52.0
Licince;obec;intravilán;na okraji;;;nevysporiadané;nie;nie;áno;nie;áno;asfaltová;;;;;31;100.0;0.0;0.0;0.0;67.7;160;5.1;
Licince;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;nie;áno;;;;;;20;100.0;0.0;0.0;0.0;100.0;176;9.0;
Lubeník;obec;;;;;;;;;;;;áno;čiastočne;áno;čiastočne;70;100.0;100.0;71.4;21.4;100.0;199;6.8;25.8
Lubeník;obec;intravilán;na okraji;;;vysporiadané;áno;áno;áno;áno;áno;*;;;;;24;100.0;100.0;100.0;0.0;100.0;101;4.2;
Lubeník;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;áno;áno;*;;;;;24;100.0;100.0;100.0;0.0;100.0;98;4.1;
Lubeník;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;čiastočne;áno;;;;;;22;100.0;100.0;9.1;68.2;100.0;133;6.5;
Magnezitovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;24;100.0;100.0;25.0;25.0;100.0;106;4.7;24.3
Mokrá Lúka;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;nie;áno;;áno;nie;áno;áno;4;100.0;100.0;50.0;0.0;100.0;25;5.5;4.8
Muráň;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;34;100.0;100.0;0.0;0.0;100.0;412;12.2;33.0
Muránska Dlhá Lúka;obec;extravilán;mimo obce;750;;čiastočne vysporiadané;áno;nie;áno;nie;áno;iná;áno;nie;áno;áno;48;2.1;12.5;0.0;0.0;91.7;250;2.2;32.1
Nandraž;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;23;100.0;13.0;0.0;0.0;100.0;139;6.2;52.5
Otročok;obec;;;;;;;;;;;;áno;nie;áno;áno;22;72.7;22.7;0.0;9.1;68.2;101;2.6;32.4
Otročok;obec;extravilán;mimo obce;2000;;nevysporiadané;nie;nie;áno;nie;áno;iná;;;;;5;60.0;0.0;0.0;0.0;60.0;35;6.4;
Otročok;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;čiastočne;nie;áno;;;;;;17;76.5;29.4;0.0;11.8;76.5;66;1.5;
Ploské;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;6;100.0;83.3;0.0;0.0;100.0;34;5.7;43.0
Polina;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;5;100.0;60.0;0.0;0.0;100.0;30;7.8;24.2
Pribredzany;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;3;100.0;100.0;0.0;0.0;100.0;13;4.3;15.7
Rákoš;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;16;100.0;100.0;0.0;0.0;100.0;108;6.8;26.2
Ratková;obec;;;;;;;;;;;;áno;nie;čiastočne;nie;54;100.0;83.3;0.0;0.0;100.0;179;4.3;35.2
Ratková;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;nie;áno;asfaltová;;;;;6;100.0;0.0;0.0;0.0;100.0;31;6.8;
Ratková;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;čiastočne;nie;áno;;;;;;48;100.0;93.8;0.0;0.0;100.0;148;3.9;
Revúca;mesto;;;;;;;;;;;;áno;áno;áno;áno;*;*;*;*;*;*;1280;*;9.6
Revúca;mesto;intravilán;mimo obce;200;;vysporiadané;áno;čiastočne;áno;nie;áno;iná;;;;;29;100.0;89.7;69.0;0.0;89.7;160;5.5;
Revúca;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;nie;áno;*;;;;;119;100.0;100.0;100.0;0.0;100.0;796;6.7;
Revúca;mesto;extravilán;mimo obce;20;;nevysporiadané;nie;nie;áno;nie;nie;iná;;;;;11;27.3;0.0;0.0;0.0;0.0;50;2.0;
Revúca;mesto;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;áno;áno;čiastočne;áno;;;;;;*;*;*;*;*;*;274;*;
Rybník;obec;;;;;;;;;;;;áno;nie;áno;nie;20;100.0;100.0;0.0;0.0;95.0;99;5.0;58.9
Rybník;obec;intravilán;mimo obce;100;;nevysporiadané;áno;nie;áno;nie;áno;asfaltová;;;;;4;100.0;100.0;0.0;0.0;100.0;19;4.8;
Rybník;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;;;;;16;100.0;100.0;0.0;0.0;93.8;80;5.0;
Sása;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;12;100.0;100.0;0.0;0.0;100.0;91;7.7;70.5
Sirk;obec;;;;;;;;;;;;áno;čiastočne;áno;nie;86;100.0;38.4;38.4;0.0;44.2;302;4.0;29.0
Sirk;obec;intravilán;mimo obce;1200;;vysporiadané;áno;nie;áno;nie;nie;iná;;;;;53;100.0;0.0;0.0;0.0;9.4;150;3.3;
Sirk;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;nie;áno;;;;;;33;100.0;100.0;100.0;0.0;100.0;152;5.2;
Skerešovo;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;19;100.0;31.6;0.0;0.0;100.0;78;3.9;31.2
Šivetice;obec;;;;;;;;;;;;áno;čiastočne;áno;áno;72;93.1;91.7;0.0;8.3;94.4;260;3.3;100.0
Šivetice;obec;*;na okraji;;;vysporiadané;áno;nie;áno;áno;áno;iná;;;;;10;50.0;100.0;0.0;0.0;100.0;88;6.3;
Šivetice;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;;;;;62;100.0;90.3;0.0;9.7;93.5;172;2.8;
Tornaľa;mesto;;;;;;;;;;;;áno;čiastočne;áno;čiastočne;250;96.0;80.0;80.0;60.0;100.0;2800;10.4;34.3
Tornaľa;mesto;intravilán;na okraji;;;vysporiadané;áno;nie;áno;nie;áno;asfaltová;;;;;17;100.0;0.0;0.0;0.0;100.0;50;2.9;
Tornaľa;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;;;;;233;95.7;85.8;85.8;64.4;100.0;2750;10.9;
Turčok;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;13;100.0;0.0;0.0;0.0;100.0;72;5.5;27.9
Žiar;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;áno;áno;;nie;nie;áno;áno;4;100.0;0.0;0.0;0.0;50.0;16;7.0;11.4
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES RIMAVSKÁ SOBOTA;;;;;;;;;;;;;;;;;;;;;;;;;
Abovce;obec;;;;;;;;;;;;nie;nie;áno;áno;32;100.0;0.0;0.0;37.5;100.0;300;9.4;48.4
Abovce;obec;intravilán;mimo obce;20;železnica;vysporiadané;nie;áno;nie;áno;áno;asfaltová;;;;;8;100.0;0.0;0.0;0.0;100.0;50;6.3;
Abovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;áno;áno;;;;;;24;100.0;0.0;0.0;50.0;100.0;250;10.4;
Barca;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;71;100.0;0.0;0.0;0.0;94.4;400;5.6;91.7
Batka;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;čiastočne;čiastočne;áno;áno;;nie;čiastočne;áno;áno;27;100.0;0.0;*;*;*;200;7.4;21.7
Belín;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;6;100.0;0.0;0.0;0.0;100.0;55;9.2;9.6
Blhovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;čiastočne;áno;;nie;nie;áno;áno;46;100.0;0.0;0.0;0.0;100.0;237;5.2;28.9
Cakov;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;nie;nie;áno;nie;35;100.0;82.9;0.0;0.0;100.0;206;5.9;73.8
Číž;obec;intravilán;na okraji;;;čiastočne vysporiadané;nie;nie;áno;nie;áno;iná;áno;áno;áno;áno;21;85.7;0.0;0.0;0.0;100.0;237;11.3;33.3
Dražice;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;18;100.0;66.7;0.0;0.0;100.0;96;5.3;40.0
Drienčany;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;5;100.0;80.0;0.0;0.0;100.0;46;9.2;18.4
Drňa;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;čiastočne;15;100.0;13.3;0.0;0.0;100.0;87;5.8;41.0
Dubovec;obec;;;;;;;;;;;;nie;nie;áno;áno;38;100.0;0.0;0.0;5.3;100.0;172;4.5;33.0
Dubovec;obec;extravilán;mimo obce;3000;;nevysporiadané;nie;nie;áno;nie;áno;asfaltová;;;;;16;100.0;0.0;0.0;0.0;100.0;69;4.3;
Dubovec;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;áno;áno;;;;;;22;100.0;0.0;0.0;9.1;100.0;103;4.6;
Dulovo;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;14;42.9;7.1;0.0;0.0;42.9;142;10.1;70.6
Figa;obec;intravilán;*;;;vysporiadané;áno;nie;áno;čiastočne;áno;asfaltová;áno;nie;áno;áno;22;95.5;22.7;0.0;4.5;100.0;126;5.7;32.7
Gemerské Dechtáre;obec;intravilán;integrované/koncentrované;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;*;áno;nie;áno;nie;38;100.0;94.7;0.0;0.0;100.0;70;1.8;14.9
Gemerský Jablonec;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;áno;34;100.0;67.6;0.0;11.8;100.0;128;3.8;18.0
Gortva;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;čiastočne;52;100.0;63.5;0.0;9.6;96.2;345;6.6;69.3
Hajnačka;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;áno;16;100.0;50.0;0.0;12.5;100.0;120;7.5;9.6
Hodejov;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;áno;áno;;nie;nie;áno;áno;180;97.2;0.0;0.0;5.6;97.2;750;4.3;53.6
Hodejovce;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;5;100.0;0.0;0.0;0.0;100.0;22;4.4;10.5
Hostice;obec;;;;;;;;;;;;áno;nie;áno;nie;119;99.2;79.8;0.0;0.0;100.0;532;4.5;61.9
Hostice;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;nie;áno;iná;;;;;6;100.0;0.0;0.0;0.0;100.0;37;6.2;
Hostice;obec;intravilán;mimo obce;500;;vysporiadané;áno;nie;áno;nie;*;iná;;;;;9;100.0;11.1;0.0;0.0;100.0;65;7.2;
Hostice;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;;;;;104;99.0;90.4;0.0;0.0;100.0;430;4.1;
