BRATISLAVSKÝ  KRAJ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
Vysoká pri Morave;obec;intravilán;na okraji;;;vysporiadané;áno;áno;áno;áno;áno;asfaltová;;;;;18;94.4;100.0;66.7;100.0;100.0;109;6.4;
Záhorská Ves;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;40;90.0;0.0;0.0;0.0;100.0;371;9.3;23.2
Závod;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;áno;22;100.0;45.5;0.0;*;100.0;137;6.2;5.3
Zohor;obec;;;;;;;;;;;;áno;čiastočne;áno;áno;41;85.4;100.0;78.0;*;100.0;342;8.3;10.8
Zohor;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;áno;áno;nie;nie;asfaltová;;;;;10;40.0;100.0;10.0;0.0;100.0;69;6.9;
Zohor;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;;;;;31;100.0;100.0;100.0;*;100.0;273;8.8;
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES PEZINOK;;;;;;;;;;;;;;;;;;;;;;;;;
Pezinok;mesto;;;;;;;;;;;;áno;áno;áno;áno;22;100.0;100.0;100.0;0.0;100.0;109;5.6;0.5
Pezinok;mesto;intravilán;integrované/koncentrované;;železnica;vysporiadané;áno;áno;áno;nie;áno;asfaltová;;;;;18;100.0;100.0;100.0;0.0;100.0;91;5.8;
Pezinok;mesto;intravilán;mimo obce;200;železnica;nevysporiadané;áno;áno;áno;áno;áno;asfaltová;;;;;4;100.0;100.0;100.0;0.0;100.0;18;4.5;
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES SENEC;;;;;;;;;;;;;;;;;;;;;;;;;
Blatné;obec;;;;;;;;;;;;áno;nie;áno;áno;12;100.0;91.7;0.0;83.3;100.0;55;4.6;3.7
Blatné;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;áno;nie;iná;;;;;7;100.0;85.7;0.0;71.4;100.0;33;4.7;
Blatné;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;5;100.0;100.0;0.0;100.0;100.0;22;4.4;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;
