TRNAVSKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
Dolná Streda;obec;intravilán;mimo obce;200;iné;vysporiadané;áno;nie;áno;áno;nie;asfaltová;;;;;3;100.0;100.0;0.0;100.0;100.0;24;8.0;
Dolná Streda;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;;;;;1;100.0;100.0;100.0;100.0;100.0;5;4.0;
Galanta;mesto;;;;;;;;;;;;áno;áno;áno;áno;60;100.0;73.3;73.3;43.3;81.7;248;4.5;3.1
Galanta;mesto;intravilán;mimo obce;2000;;nevysporiadané;áno;nie;áno;nie;áno;iná;;;;;7;100.0;0.0;0.0;0.0;71.4;21;6.1;
Galanta;mesto;intravilán;mimo obce;2000;;vysporiadané;nie;nie;nie;nie;áno;iná;;;;;9;100.0;0.0;0.0;0.0;0.0;45;5.0;
Galanta;mesto;intravilán;mimo obce;1000;železnica;vysporiadané;áno;áno;áno;áno;áno;asfaltová;;;;;8;100.0;100.0;100.0;100.0;100.0;28;3.5;
Galanta;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;nie;áno;asfaltová;;;;;18;100.0;100.0;100.0;0.0;100.0;90;5.0;
Galanta;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;áno;áno;asfaltová;;;;;18;100.0;100.0;100.0;100.0;100.0;64;3.6;
Jelka;obec;;;;;;;;;;;;áno;nie;áno;áno;*;*;*;*;*;*;832;*;21.0
Jelka;obec;intravilán;integrované/koncentrované;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;iná;;;;;19;89.5;0.0;0.0;*;78.9;120;6.2;
Jelka;obec;intravilán;integrované/koncentrované;;;nevysporiadané;*;*;*;*;*;*;;;;;*;*;*;*;*;*;25;*;
Jelka;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;116;100.0;*;*;*;*;687;6.0;
Kajal;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;12;100.0;83.3;0.0;66.7;100.0;105;9.2;7.5
Košúty;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;17;100.0;88.2;0.0;76.5;100.0;78;5.5;5.2
Mostová;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;14;92.9;57.1;0.0;57.1;92.9;109;8.1;6.8
Pata;obec;;;;;;;;;;;;áno;čiastočne;áno;áno;26;92.3;88.5;38.5;84.6;100.0;146;5.6;4.8
Pata;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;čiastočne;áno;áno;áno;žiadna;;;;;19;89.5;84.2;31.6;78.9;100.0;98;5.2;
Pata;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;čiastočne;áno;áno;áno;;;;;;7;100.0;100.0;57.1;100.0;100.0;48;6.9;
Pusté Úľany;obec;;;;;;;;;;;;áno;nie;áno;áno;15;100.0;100.0;0.0;73.3;100.0;68;4.6;4.4
Pusté Úľany;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;nie;áno;asfaltová;;;;;4;100.0;100.0;0.0;0.0;100.0;15;3.8;
Pusté Úľany;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;11;100.0;100.0;0.0;100.0;100.0;53;4.9;
Sereď;mesto;;;;;;;;;;;;áno;áno;áno;áno;49;98.0;98.0;89.8;89.8;98.0;288;8.8;1.6
