NITRIANSKY KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
Demandice;obec;extravilán;mimo obce;500;;nevysporiadané;nie;nie;áno;nie;*;*;;;;;1;100.0;0.0;0.0;0.0;100.0;7;7.0;
Dolná Seč;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;asfaltová;áno;nie;áno;áno;11;100.0;90.9;0.0;100.0;100.0;56;5.0;12.4
Dolné Semerovce;obec;;;;;;;;;;;;nie;nie;áno;nie;17;94.1;0.0;0.0;0.0;100.0;170;10.0;34.1
Dolné Semerovce;obec;intravilán;na okraji;;;čiastočne vysporiadané;nie;nie;áno;nie;áno;asfaltová;;;;;8;87.5;0.0;0.0;0.0;100.0;117;14.6;
Dolné Semerovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;nie;áno;;;;;;9;100.0;0.0;0.0;0.0;100.0;53;5.9;
Dolný Pial;obec;;;;;;;;;;;;áno;nie;áno;áno;10;30.0;10.0;0.0;0.0;60.0;78;7.8;7.9
Dolný Pial;obec;intravilán;integrované/koncentrované;;;nevysporiadané;nie;nie;áno;nie;áno;asfaltová;;;;;5;40.0;0.0;0.0;0.0;100.0;39;7.8;
Dolný Pial;obec;intravilán;integrované/koncentrované;;;vysporiadané;nie;nie;áno;nie;áno;iná;;;;;1;100.0;0.0;0.0;0.0;100.0;16;16.0;
Dolný Pial;obec;intravilán;na okraji;;;vysporiadané;áno;nie;nie;nie;áno;iná;;;;;4;0.0;25.0;0.0;0.0;0.0;23;5.8;
Farná ;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;48;100.0;20.8;0.0;2.1;97.9;137;2.7;9.4
Hokovce ;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;čiastočne;čiastočne;nie;áno;;nie;čiastočne;áno;áno;5;80.0;0.0;0.0;0.0;80.0;60;8.8;10.4
Horná Seč;obec;intravilán;na okraji;;;vysporiadané;nie;nie;nie;nie;nie;iná;áno;*;*;*;1;0.0;0.0;0.0;0.0;0.0;1;2.0;0.2
Horné Turovce;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;áno;áno;;nie;nie;áno;áno;4;100.0;0.0;0.0;50.0;100.0;33;6.5;5.4
Horný Pial;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;7;100.0;42.9;0.0;0.0;100.0;24;3.9;7.7
Hronovce ;obec;;;;;;;;;;;;áno;nie;áno;áno;25;100.0;24.0;0.0;12.0;100.0;173;7.4;11.6
Hronovce ;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;čiastočne;áno;asfaltová;;;;;5;100.0;80.0;0.0;20.0;100.0;27;7.6;
Hronovce ;obec;intravilán;integrované/koncentrované;;;vysporiadané;nie;nie;áno;nie;áno;asfaltová;;;;;1;100.0;0.0;0.0;0.0;100.0;31;31.0;
Hronovce ;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;;;;;19;100.0;10.5;0.0;10.5;100.0;115;6.1;
Hronské Kosihy;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;čiastočne;áno;;áno;nie;áno;áno;3;100.0;0.0;0.0;33.3;100.0;42;14.3;6.1
Kalná nad Hronom;obec;;;;;;;;;;;;áno;áno;áno;áno;19;100.0;63.2;36.8;63.2;100.0;147;6.3;7.1
Kalná nad Hronom;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;áno;áno;asfaltová;;;;;5;100.0;100.0;100.0;100.0;100.0;41;4.2;
Kalná nad Hronom;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;čiastočne;áno;;;;;;14;100.0;50.0;14.3;50.0;100.0;106;7.1;
Kozárovce;obec;*;mimo obce;500;železnica;čiastočne vysporiadané;nie;nie;áno;nie;áno;asfaltová;áno;čiastočne;áno;áno;17;58.8;0.0;0.0;0.0;58.8;120;7.1;6.2
Lok;obec;;;;;;;;;;;;áno;nie;áno;áno;22;100.0;*;*;*;*;157;7.6;15.4
Lok;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;*;;;;;;13;100.0;*;*;*;*;72;5.5;
Lok;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;čiastočne;áno;asfaltová;;;;;9;100.0;44.4;0.0;100.0;100.0;85;10.6;
Lontov ;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;12;100.0;0.0;0.0;0.0;91.7;67;5.2;10.5
Mýtne Ludany;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;*;*;*;0.0;*;*;100;*;*
Nový Tekov;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;áno;4;100.0;100.0;0.0;50.0;100.0;41;4.3;4.9
Ondrejovce ;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;18;100.0;22.2;0.0;22.2;100.0;80;4.1;17.5
Pastovce;obec;;;;;;;;;;;;áno;nie;áno;nie;30;100.0;80.0;0.0;0.0;100.0;143;4.8;25.5
Pastovce;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;;;;;16;100.0;100.0;0.0;0.0;100.0;87;5.4;
Pastovce;obec;intravilán;mimo obce;500;;vysporiadané;áno;nie;áno;nie;áno;asfaltová;;;;;14;100.0;57.1;0.0;0.0;100.0;56;4.0;
Plášťovce ;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;čiastočne;čiastočne;áno;;áno;nie;áno;áno;11;100.0;36.4;0.0;27.3;81.8;45;4.5;2.6
Plavé Vozokany;obec;;;;;;;;;;;;áno;nie;áno;nie;34;100.0;76.5;0.0;0.0;97.1;206;6.0;23.8
Plavé Vozokany;obec;intravilán;integrované/koncentrované;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;asfaltová;;;;;8;100.0;75.0;0.0;0.0;87.5;43;5.4;
Plavé Vozokany;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;;;;;26;100.0;76.9;0.0;0.0;100.0;163;6.2;
Pohronský Ruskov;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;čiastočne;9;100.0;22.2;0.0;44.4;100.0;66;7.3;5.0
Pukanec;obec;;;;;;;;;;;;áno;čiastočne;áno;čiastočne;63;100.0;100.0;25.4;28.6;100.0;224;3.6;10.4
Pukanec;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;čiastočne;áno;asfaltová;;;;;29;100.0;100.0;0.0;3.4;100.0;83;2.9;
Pukanec;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;čiastočne;áno;;;;;;34;100.0;100.0;47.1;50.0;100.0;141;4.1;
Santovka;obec;;;;;;;;;;;;áno;nie;áno;áno;7;57.1;28.6;0.0;0.0;28.6;29;5.0;3.4
Santovka;obec;intravilán;na okraji;;;nevysporiadané;áno;nie;nie;nie;nie;iná;;;;;4;25.0;0.0;0.0;0.0;0.0;15;4.8;
Santovka;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;čiastočne;nie;áno;;;;;;3;100.0;66.7;0.0;0.0;66.7;14;5.3;
Sazdice;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;6;100.0;0.0;0.0;0.0;100.0;20;4.2;4.7
Sikenica;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;13;100.0;0.0;0.0;0.0;100.0;138;10.6;21.2
Slatina ;obec;;;;;;;;;;;;nie;nie;áno;áno;11;100.0;0.0;0.0;9.1;90.9;*;*;*
Slatina ;obec;intravilán;na okraji;;;vysporiadané;nie;nie;áno;nie;áno;iná;;;;;4;100.0;0.0;0.0;0.0;100.0;*;*;
Slatina ;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;čiastočne;áno;;;;;;7;100.0;0.0;0.0;14.3;85.7;*;*;
Šahy;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;čiastočne;nie;čiastočne;;áno;áno;áno;áno;55;100.0;38.2;0.0;0.0;90.9;200;5.5;2.5
Šalov;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;36;100.0;2.8;0.0;0.0;100.0;183;5.1;43.4
Šarovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;153;100.0;100.0;0.0;56.9;100.0;795;5.2;47.9
Tehla;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;áno;áno;;nie;nie;áno;áno;3;100.0;0.0;0.0;33.3;100.0;41;10.7;7.5
Tekovské Lužany;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;čiastočne;áno;;áno;nie;áno;áno;41;100.0;7.3;0.0;36.6;100.0;188;4.6;6.3
